id,scene,filename,format,ratio,display_location,load_priority,fallback,model,reference_media_id,reference_file,prompt,negative,status,notes
3d-rhino,"Sour Diesel rhino, 3D mesh",rhino-tripo.glb,"glb 56MB, 1.9M tris, PBR 4K → web 5.8MB 227k tris 2K",3d,"phase 3 pipeline: rendered from, never shown raw",n/a,n/a,tripo_h3_1_multiview_to_3d detailed,"sheet-03 front/side/back crops (a68c9d35, aeff76d1, 0af3bea6)",turnaround sheet crops,"multiview image-to-3D, texture + PBR, auto size",,APPROVAL PENDING v1,"job 8a76f9a5-c9af-4d0e-8f2e-0bc9a1b7a4a6 · viewer https://claude.ai/code/artifact (Safari Smoke Cast Models) · docs/3d/cast-turntables-v1.jpg · Meshy comparison a0bb9509 set aside (softer face, invented back emblem)"
3d-ape,"Banana Shack ape, 3D mesh",ape-tripo.glb,glb 59MB → web 6.2MB 238k tris,3d,"phase 3 pipeline: rendered from, never shown raw",n/a,n/a,tripo_h3_1_multiview_to_3d detailed,"sheet-01 front/side/back crops (2bc5b6c4, 96c4eb6c, 6f4d57b2)",turnaround sheet crops,"multiview image-to-3D, texture + PBR, auto size",,APPROVAL PENDING v1,job b76dad3e-989b-469a-810d-9f2051a2da2a · viewer https://claude.ai/code/artifact (Safari Smoke Cast Models) · docs/3d/cast-turntables-v1.jpg
3d-monkey,"Permanent Marker monkey, 3D mesh",monkey-tripo.glb,glb 58MB → web 6.0MB 236k tris,3d,"phase 3 pipeline: rendered from, never shown raw",n/a,n/a,tripo_h3_1_multiview_to_3d detailed,"sheet-02 v2 front/side/back crops (50ec366f, 889de6dd, aef8a424)",turnaround sheet crops,"multiview image-to-3D, texture + PBR, auto size",,APPROVAL PENDING v1,job f4927b61-26db-4249-bb10-1c17e900e1e3 · viewer https://claude.ai/code/artifact (Safari Smoke Cast Models) · docs/3d/cast-turntables-v1.jpg
3d-rig-rhino,"Rhino, rigged + seated idle (Meshy)",rhino-meshy-rig.glb,"glb 12MB 119k tris, armature, Chair_Sit_Idle_M 11s",3d/video,phase 3 pipeline,n/a,n/a,meshy_multi_image_to_3d a-pose rig anim 33,same four view crops as the Tripo mesh,,,,IN USE for animation; approved Tripo mesh remains the look reference,"job c737a8d6-22a3-401e-bc17-ea1b61cb22d8 · Meshy's rigger refused the Tripo meshes (6 jobs failed, no error text, not size, not prompt), so Meshy rebuilt its own rigged copy from the same views"
3d-rig-ape,"Ape, rigged + seated idle (Meshy)",ape-meshy-rig.glb,"glb 13MB 119k tris, armature, Chair_Sit_Idle_M",3d/video,phase 3 pipeline,n/a,n/a,meshy_multi_image_to_3d a-pose rig anim 33,same four view crops,,,,IN USE for animation,job eeb392f7-9891-47cd-a172-3c2496752aa9
3d-rig-monkey,"Monkey, rigged + seated idle (Meshy)",monkey-meshy-rig.glb,"glb 12MB 119k tris, armature, Chair_Sit_Idle_M",3d/video,phase 3 pipeline,n/a,n/a,meshy_multi_image_to_3d a-pose rig anim 33,same four view crops,,,,IN USE for animation,job d33168c4-5039-4577-95bf-4ff792999a8a
3d-truck-gen,"Truck, generated mesh",truck-tripo.glb,glb 56MB,3d/video,phase 3 pipeline,n/a,n/a,tripo_h3_1_multiview_to_3d,"vehicle-01, -03, -02 views",,,,REJECTED,"job 8321f052-c7d9-4142-8d09-1ebba51c3959 · jerry can at both ends, two spares, no clear front; 3.9m long. The film truck is built procedurally in scripts/3d/drive.html to real measurements"
3d-test-clean,"Ten-second back-seat test, clean render",drive-10s.mp4,"mp4 720x1280 24fps (12fps render, blended)",3d/video,phase 3 pipeline,n/a,n/a,three.js in headless Chromium (scripts/3d/render-drive.mjs),"approved Tripo meshes, static, seated; procedural truck, road, acacias, hand + Eco-Star",,,,TEST,job local · media d848cc20-899f-4332-9b62-56d6356df635 uploaded for the restyle tests
3d-test-restyle-flux,Restyle test on the clean render,restyle-flux.mp4,mp4 704x1248 24fps 9.9s,3d/video,phase 3 pipeline,n/a,n/a,flux_3_video_edit (1 credit/s),drive-10s.mp4,,,,"PASS: camera, seats, cast positions held frame for frame; golden light, canvas, skin and cloth upgraded; the placeholder hand was reinterpreted",job f9c85f4c-da95-4d03-a9bb-492dba95ab0f · prompt describes look only; the device is never named
3d-test-restyle-seedance,Restyle test on the clean render,restyle-seedance.mp4,mp4 720x1280 24fps 9.7s,3d/video,phase 3 pipeline,n/a,n/a,seedance_2_5 video_edit 720p,drive-10s.mp4,,,,"PASS, more literal than FLUX: keeps the hand as a hand and the awning as canvas, lighting closer to the clean render, less feature-animation softness",job 6e85108d-672e-4b49-93fe-9c93fc9196b5
3d-test-rig-clean,"Ten-second test, rigged cast with seated idle",drive-rig-10s.mp4,mp4 720x1280 24fps,video,phase 3 pipeline,n/a,n/a,three.js headless render,"Meshy rigged copies, animation mixer time-locked to the frame clock",,,,TEST,job local · media da825bbc-2b6b-49c1-a3b1-19807e12678e
3d-test-restyle-flux-rig,FLUX restyle on the rigged test,restyle-flux-rig.mp4,mp4,video,phase 3 pipeline,n/a,n/a,flux_3_video_edit,drive-rig-10s.mp4,,,,PENDING,"job 251e5695-bec0-4b4f-af77-a82bce4c9c59 · hand described as holding a small cream stick, nothing else named"
gen-longtake-s20,"Jon's route: one continuous 15s take, generated",longtake-s20.mp4,mp4 1080p 9:16 15s,video,"phase 3, generated long-take comparison",n/a,n/a,seedance_2_0 std comedy,"start_image = FLUX-restyled first frame of the rigged 3D test (b8f2f470); image_references = one sheet per approved character, three angles each (efc5cc58 rhino, dfaf807a ape, 1c74d8be monkey)",approved meshes rendered as reference sheets,see notes,"no text, no exterior view, no extra characters, no humans",PENDING,"job bac1f700-aee0-488f-a8ad-ce96a8ae5096 · cast, seating and beats described; the hand holds 'a small cream stick'; no product named"
gen-longtake-s25-a,"Jon's route: one continuous 25s take, generated",longtake-s25-a.mp4,mp4 1080p 9:16 25s,video,"phase 3, generated long-take comparison",n/a,n/a,seedance_2_5 omni_reference,same references,approved meshes rendered as reference sheets,see notes,"no text, no exterior view, no extra characters, no humans",PENDING,"job ba8cb90c-d54b-415d-a11f-b9166b18478a · riverbed at 6s, monkey on the roll bar at 11s, mud at 15s, launch at 19s, low sun to finish"
gen-longtake-s25-b,"Jon's route: one continuous 25s take, generated (variant)",longtake-s25-b.mp4,mp4 1080p 9:16 25s,video,"phase 3, generated long-take comparison",n/a,n/a,seedance_2_5 omni_reference,same references,approved meshes rendered as reference sheets,see notes,"no text, no exterior view, no extra characters, no humans","STRONG: same beats as take A; the monkey hangs into the lens with a huge grin, the mud crossing splashes water, the hand reads as fur throughout; slightly busier than A",job 39cdd3b3-20fd-432e-98a5-0c84c5fc5830
3d-rhino-v2,"Rhino mesh, second attempt (views ordered front, left, back, right; right = mirrored side)",rhino-v2.glb,glb 59MB,tripo_h3_1_multiview_to_3d detailed,fd4ef49d-4da3-4b54-b756-523de9dec4a1,"a68c9d35, aeff76d1, 0af3bea6, 002aa007 (mirrored side)",,,"REJECTED: full face on both ends of the head; the first mesh (8a76f9a5) also has a second face on the back, caught by Jon, so the rhino has no approved mesh","next, on approval: Hunyuan3D v3 multiview and single-view Tripo, compared as eight-angle head strips"
sheet-03-v2a,"Sour Diesel rhino turnaround, redrawn from scratch in the feature-animation look",sheet-03-v2a.png,png 2688x1520,16:9,docs / character lock candidate,n/a,n/a,gpt_image_2_5 high 2k,bfce3711 (pack mascot crop only; no 3D output in the chain),original pack mascot crop,"character-sheet workflow, 3d-stylized preset, turnaround; back view specified as hat, ears, neck, shirt back, no face","no text, no logos, no props, no second face on the back of the head","CANDIDATE, awaiting Jon",job 07fd22cb-9926-4384-9b6a-3f97f6756cfa · docs/sheets/sheet-03-sour-diesel-turnaround-v2a-3d.jpg · back view clean
sheet-03-v2b,"Sour Diesel rhino turnaround, redrawn from scratch, variant",sheet-03-v2b.png,png 2688x1520,16:9,docs / character lock candidate,n/a,n/a,gpt_image_2_5 high 2k,bfce3711,original pack mascot crop,same prompt,same,"APPROVED by Jon 16 Sep: the rhino identity reference for the film","job 6b9a80f4-f1a5-4121-9828-89228a87fbfa · docs/sheets/sheet-03-sour-diesel-turnaround-v2b-3d.jpg · heavier, grumpier; back view clean"
sheet-01-v2-3d,"Banana Shack ape turnaround, redrawn in the feature-animation look",sheet-01-v2-3d.png,png 2688x1520,16:9,docs / character lock candidate,n/a,n/a,gpt_image_2_5 high 2k,71f2f886 (pack ape crop) + 6b9a80f4 (rhino v2b for style),original pack mascot crop + approved rhino sheet,"turnaround front/3-4/profile/back matching rhino v2b layout; fedora with leaf, sunglasses, pineapple shirt, denim shorts, belt, sandals; back view specified as hat, collar, shoulders, no face","no text, no logos, no second face","APPROVED by Jon 16 Sep",job f86130de-243a-45d5-a4b0-2d7cccc04962 · docs/sheets/sheet-01-banana-shack-turnaround-v2-3d.jpg · back view clean
sheet-02-v2-3d,"Permanent Marker monkey turnaround, redrawn in the feature-animation look",sheet-02-v2-3d.png,png 2688x1520,16:9,docs / character lock candidate,n/a,n/a,gpt_image_2_5 high 2k,f8079908 (pack monkey crop) + 6b9a80f4 (rhino v2b for style),original pack mascot crop + approved rhino sheet,"turnaround matching rhino v2b layout; red quarter-zip with small leaf, red shorts, black cap, tail, bare feet; back view specified as cap, top, tail, no face","no text, no logos, no second face","REJECTED by Jon 16 Sep: too tall",job 71d44ac1-4a0e-4935-9cf4-a13abe366d3b · docs/sheets/sheet-02-permanent-marker-turnaround-v2-3d.jpg · back view clean; leaf emblem is a literal leaf not a sprig
sheet-04-v1-3d,"Eco-Star prop sheet in the feature-animation look, cream and black, plus draw-grip hand hero",sheet-04-v1-3d.png,png 2688x1520,16:9,docs / prop lock candidate,n/a,n/a,gpt_image_2_5 high 2k,83dd9881 (geometry sheet v4) + 4c9c8a8b (scale template) + 6b9a80f4 (rhino v2b for style),geometry sheet v4 + template + approved rhino sheet,"herbal nicotine vape; 89x22.1x16.6 mm, angled duckbill mouthpiece, seam, two arched shoulder vents, circular dish with rectangular window glowing gold, oval LED, USB-C back, base cap; front/3-4/side/back x2 colourways + hand hero","no text, no logos, no lettering","REJECTED by Jon 16 Sep: cream mouthpiece was black",job ee83b926-d3f3-435f-a849-d82dd5bfce49 · docs/sheets/sheet-04-ecostar-prop-v1-3d.jpg · extra green LED on the base cap; mouthpiece gloss black on both units
sheet-02-v2b-3d,"Permanent Marker monkey turnaround, height corrected to the ape",sheet-02-v2b-3d.png,png 2688x1520,16:9,docs / character lock candidate,n/a,n/a,gpt_image_2_5 high 2k,71d44ac1 (monkey v2) + f86130de (ape v2 for height),monkey v2 sheet + ape v2 sheet,"same character and costume; five heads tall, same standing height as the ape, bigger head, short torso, long arms and tail","no text, no logos, no second face","APPROVED by Jon 16 Sep",job f0ae8274-4f63-464c-ae3e-f8d10528891f · docs/sheets/sheet-02-permanent-marker-turnaround-v2b-3d.jpg
sheet-04-v2-3d,"Eco-Star prop sheet, cream mouthpiece and base corrected to Jon's photo",sheet-04-v2-3d.png,png 2688x1520,16:9,docs / prop lock candidate,n/a,n/a,gpt_image_2_5 high 2k,ee83b926 (prop v1) + 83dd9881 (geometry v4),prop v1 sheet + geometry sheet v4 (Jon's photo described in the prompt; not on disk),"herbal nicotine vape; cream unit mouthpiece in the same speckled cream, pale smooth cream base, no base light; black unit unchanged","no text, no stickers, no logos","APPROVED by Jon 16 Sep",job 650cdba8-b369-4c44-a958-0d430fa77939 · docs/sheets/sheet-04-ecostar-prop-v2-3d.jpg
opening-01-v1,"Opening still, chapter 1 pre-dawn, back-row POV, feature-animation look",opening-01-v1.png,png 1520x2688,9:16,start frame for long take 1,n/a,n/a,gpt_image_2_5 high 2k,a0e277d8 (POV plate for layout) + f86130de (ape v2) + 6b9a80f4 (rhino v2b) + 650cdba8 (Eco-Star v2),vehicle-04 + three approved sheets,"parked pre-dawn; ape in the right driver seat with face in the mirror; rhino front-left turned round; viewer hand bottom-right holding the cream device with the window glowing gold; steel blue with gold horizon","no text, no numbers, no logos, no plate characters","REJECTED by Jon 16 Sep: opened at night; the drive starts in the morning",job f703a7c4-c573-44b8-922c-512274255d75 · docs/sheets/opening-still-ch1-v1-3d.jpg · rhino in profile rather than full-face stare; hand reads as ape rather than ambiguous
opening-01-v2,"Opening still, chapter 1, morning sun up, back-row POV, feature-animation look",opening-01-v2.png,png 1520x2688,9:16,start frame for long take 1,n/a,n/a,gpt_image_2_5 high 2k,a0e277d8 (POV plate for layout) + f86130de (ape v2) + 6b9a80f4 (rhino v2b) + 650cdba8 (Eco-Star v2),vehicle-04 + three approved sheets,"parked at the track start in early morning sun from the left; ape in the right driver seat with face in the mirror; rhino front-left turned round staring; viewer hand in awning shade bottom-right holding the cream device with the window glowing gold","no text, no numbers, no logos, no plate characters","REJECTED by Jon 16 Sep: no monkey in the frame",job 9dd9e058-5921-4937-bf7c-666f7ae59c2a · docs/sheets/opening-still-ch1-v2-3d.jpg · rhino stare is three-quarter not full frontal
opening-01-v3,"Opening still, chapter 1, morning, all three cast aboard, back-row POV, feature-animation look",opening-01-v3.png,png 1520x2688,9:16,start frame for long take 1,n/a,n/a,gpt_image_2_5 high 2k,a0e277d8 (POV plate for layout) + f86130de (ape v2) + 6b9a80f4 (rhino v2b) + f0ae8274 (monkey v2b) + 650cdba8 (Eco-Star v2),vehicle-04 + four approved sheets,"morning sun from the left; ape right driver seat with face in the mirror; rhino front-left turned round staring; monkey middle-row left with arm over the seat back and tail over the roll bar; viewer hand in awning shade with the cream device glowing gold","no text, no numbers, no logos, no plate characters","REJECTED by Jon 16 Sep: front cast sit in front of the dashboard (depth error inherited from the flat POV plate)",job 988868e2-cd86-4794-859d-52f5cebc8a96 · docs/sheets/opening-still-ch1-v3-3d.jpg
previs-01-a,"Scene previs: opening scene from outside, front three-quarter, left front corner",previs-a.png,png 2688x1520,16:9,docs / previs check only (camera never leaves the truck in the film),n/a,n/a,gpt_image_2_5 high 2k,988868e2 (opening v3) + ape/rhino/monkey sheets,opening still v3 + three sheets,"RHD driver on the far side; rhino near front; monkey middle; back row empty","no fourth figure, no text, no plate characters","REJECTED by Jon 16 Sep: rhino and ape on swapped sides (camera was on the right side, rhino drawn nearest)",job da09beca · first pass a64552aa REJECTED (driver on the left, duplicate ape) · replaced by previs-01-a2
previs-01-b,"Scene previs: from the bonnet looking back through the windscreen",previs-b.png,png 2688x1520,16:9,docs / previs check only,n/a,n/a,gpt_image_2_5 high 2k,988868e2 + four sheets,opening still v3 + four sheets,"ape at the wheel on the truck right; rhino left; monkey middle; viewer in the back in shade with the device","no text","APPROVED by Jon 16 Sep",job 4b48e9c3-9076-4276-8072-d0ef523560cc
previs-01-c,"Scene previs: left side profile",previs-c.png,png 2688x1520,16:9,docs / previs check only,n/a,n/a,gpt_image_2_5 high 2k,988868e2 + ape/rhino/monkey sheets,opening still v3 + three sheets,"RHD driver on the far side; back row empty; no jerry can on the bonnet in this view","no fourth figure, no text","REJECTED by Jon 16 Sep: rhino and ape on swapped sides; monkey not behind the rhino",job 586e42db · first pass 12eb296a REJECTED · replaced by previs-01-c2
previs-01-d,"Scene previs: middle row, close on the monkey and the device",previs-d.png,png 2688x1520,16:9,docs / previs check only,n/a,n/a,gpt_image_2_5 high 2k,988868e2 + four sheets,opening still v3 + four sheets,"monkey close, rhino and ape beyond, cream device close with vents and gold window","no text","APPROVED by Jon 16 Sep",job 0a04d9b6-0591-4404-8a19-b1670b543478
previs-01-a2,"Scene previs: front three-quarter from the RIGHT front corner",previs-a2.png,png 2688x1520,16:9,docs / previs check only,n/a,n/a,gpt_image_2_5 high 2k,988868e2 + ape/rhino/monkey sheets,opening still v3 + three sheets,"camera on the right side so the driver seat is nearest: ape at the wheel nearest, rhino far front, monkey middle row far side behind the rhino, back row empty","no fourth figure, no text","REJECTED by Jon 16 Sep: side and front views keep flipping the seat map; retired in favour of rear views",job 23472d63
previs-01-c2,"Scene previs: right side profile",previs-c2.png,png 2688x1520,16:9,docs / previs check only,n/a,n/a,gpt_image_2_5 high 2k,988868e2 + ape/rhino/monkey sheets,opening still v3 + three sheets,"bonnet on the right, camera on the right side: ape at the wheel nearest, rhino far front, monkey middle row far side behind the rhino, near half of the middle bench and back row empty","no fourth figure, no text","REJECTED by Jon 16 Sep: rhino rendered in the row behind the ape; retired in favour of rear views",job b3c9347a
previs-01-e,"Scene previs: high rear three-quarter from behind the truck",previs-e.png,png 2688x1520,16:9,docs / previs check only,n/a,n/a,gpt_image_2_5 high 2k,988868e2 + ape/rhino/monkey sheets,opening still v3 + three sheets,"camera behind the truck so its right is the frame right: ape front right at the wheel, rhino front left beside him, monkey middle left behind the rhino, middle right and back row empty","no fourth figure, no text","APPROVED by Jon 16 Sep",job 4af6247f-5d62-4c94-856e-899a19a1f269 · docs/sheets/previs-ch1-e-rear34.jpg
previs-01-f,"Scene previs: straight from behind the truck, slightly elevated",previs-f.png,png 2688x1520,16:9,docs / previs check only,n/a,n/a,gpt_image_2_5 high 2k,988868e2 + ape/rhino/monkey sheets,opening still v3 + three sheets,"same seat map as the opening still; ape sunglasses in the mirror","no fourth figure, no text","APPROVED by Jon 16 Sep",job 465d887a-f6f5-4094-8887-368c67da228e · docs/sheets/previs-ch1-f-rear.jpg
take-01-v1,"Long take 1: chapter 1 cough and chapter 2 bad start, one continuous first-person take",take-01-v1.mp4,mp4 1080p 9:16 25s,9:16,film source for ch1-ch2,n/a,n/a,seedance_2_5 omni_reference 25s,988868e2 (opening still v3 start frame) + f86130de + 6b9a80f4 + f0ae8274 + 650cdba8,opening still v3 + four approved sheets,"parked, three coughs, pull on the device with LED, engine catches and lurches, bad start with stall, swerve and bounce; cast fixed to the seat map; hand bottom-right throughout","no text, no exterior, no extra passengers, no humans","REJECTED by Jon 16 Sep: same dashboard depth error as its start frame",job 14fab369-1d3f-48d6-abc7-739ca02fa9eb · 25.05s 1080x1920 24fps hevc + aac · cast holds all 25s · pull at ~8s, engine catch ~11s, off-track swerve with dust ~18-20s, back on track by 22s · contact grid docs/sheets/take-01-v1-grid.jpg
opening-01-v4,"Opening still, chapter 1, morning, all three aboard, depth order corrected",opening-01-v4.png,png 1520x2688,9:16,start frame for long take 1,n/a,n/a,gpt_image_2_5 high 2k,4af6247f + 465d887a (rear previs for layout; flat plate retired) + f86130de + 6b9a80f4 + f0ae8274 + 650cdba8,rear previs views + four approved sheets,"explicit depth order: middle bench, monkey, front headrests, ape and rhino, dashboard hidden behind them, windscreen, bonnet, track; wheel hidden behind the ape","no dashboard or wheel in front of the cast, no text","LAYOUT APPROVED by Jon 16 Sep; render rejected as too comic",job 1d45fc63-f4f0-46ee-b2f9-ff39188f20d2 · docs/sheets/opening-still-ch1-v4-3d.jpg · perspective slightly compressed, bonnet reads close
opening-01-v5a,"Opening still, v4 layout re-rendered as feature-animation 3D (gpt_image_2_5)",opening-01-v5a.png,png 1520x2688,9:16,start frame candidate for take 1,n/a,n/a,gpt_image_2_5 high 2k,1d45fc63 (v4 layout),opening still v4,"same frame; remove all outlines and cel shading; PBR materials, GI, AO, subsurface, groomed fur, DOF, volumetric morning light, film grade","no outlines, no text","Not chosen (Jon picked B)",job 086df6f4-5ce8-4d5e-9d51-aa7448b5a75a · docs/sheets/opening-still-ch1-v5a-3d.jpg · warmer, hazier, stronger volumetrics
opening-01-v5b,"Opening still, v4 layout re-rendered as feature-animation 3D (nano_banana)",opening-01-v5b.png,png 1536x2752,9:16,start frame candidate for take 1,n/a,n/a,nano_banana_pro 2k,1d45fc63 (v4 layout),opening still v4,same prompt,same,"APPROVED by Jon 16 Sep: start frame for the film",job eca23166-a5d8-4537-9b12-566c7294f770 · docs/sheets/opening-still-ch1-v5b-3d.jpg · cleaner, closer to the layout, less haze
test-3d-10s,"10 s render-style test from opening still v5b, Pixar-style 3D, coughs and the pull",test-3d-10s.mp4,mp4 1080p 9:16 10s,9:16,style test before take 1 reshoot,n/a,n/a,seedance_2_5 omni_reference 10s,eca23166 (start) + f86130de + 6b9a80f4 + f0ae8274 + 650cdba8,opening still v5b + four sheets,"render style locked to the start frame, no outlines; three coughs, pull with LED and vapour, engine catches at 9s","no outlines, no text, no exterior, no extra passengers","APPROVED by Jon 16 Sep: style test passed, gag confirmed",job cb191ac6-da5a-43e4-9e84-7d739aa9d177 · 10.05s 1080x1920 24fps · render style holds for all 10 s, no outlines · cast fixed · pull at 6-8s with vapour and LED, device held facing the lens rather than to a mouth · grid docs/sheets/test-3d-10s-grid.jpg
take-01-v2,"Long take 1 with the pull gag: coughs, first raise knocked down by the engine catching, bad start, second raise knocked down by the swerve",take-01-v2.mp4,mp4 1080p 9:16 25s,9:16,film source for ch1-ch2,n/a,n/a,seedance_2_5 omni_reference 25s,eca23166 (opening still v5b start) + f86130de + 6b9a80f4 + f0ae8274 + 650cdba8,opening still v5b + four approved sheets,"feature-animation render locked to the start frame; two raises, two hits, no clean pull","no outlines, no text, no exterior, no extra passengers","APPROVED by Jon 16 Sep: take 1 locked",job bddb1319-bf1d-4ab7-aa68-5d39e3002280 · 25.05s 1080x1920 24fps · render style holds all 25 s, no outlines · seat map holds · raise 1 at 6-8s knocked down by the lurch at 8-9s (monkey thrown onto the roll bar) · rhino turns round and leans over the seat 12-19s · raise 2 at 17-19s knocked down by the swerve into scrub at 20s · full-frame dust 21-23s · clears with the device lifted again at 24s · grid docs/sheets/take-01-v2-grid.jpg
take-01-last,"Last frame of take 1, uploaded as the start frame for take 2",take-01-v2-last.png,png 1080x1920,9:16,start frame for take 2,n/a,n/a,extracted with ffmpeg,n/a,take-01-v2.mp4,n/a,n/a,USED,media fd8b0b53-a300-418a-9f96-8a16095ea55d · docs/sheets/take-01-v2-last-frame.jpg
take-02-v1,"Long take 2: gate post, switchbacks, washboard, riverbed drop, raises three and four knocked down",take-02-v1.mp4,mp4 1080p 9:16 25s,9:16,film source for ch2-ch3,n/a,n/a,seedance_2_5 omni_reference 25s,fd8b0b53 (take 1 last frame) + f86130de + 6b9a80f4 + f0ae8274 + 650cdba8,take 1 last frame + four approved sheets,"dust clears, hard mid-morning; raise 3 knocked down by the gate post at 7-9s; two switchbacks; washboard; raise 4 knocked down by the riverbed drop at 19-22s; jerry can lost","no outlines, no text, no exterior, no extra passengers","REJECTED by Jon 16 Sep: device glow went white on the raise (take 1 was warm gold; my prompt asked for a white LED) and the gate signboard carried AI lettering",job e0c6bc2a-1931-4e54-a2c2-afcaf16a3077 · 25.05s 1080x1920 24fps · seamless join from the take 1 last frame, dust clears by 2s · look and seat map hold · raise 3 at 5-7s with LED, gate post clip at 7-8s knocks it down · switchbacks 10-14s · washboard 15-18s · raise 4 at 18-19s, jerry can flies past at 19s, riverbed drop and dust 20-22s knock it down · clears 23-25s · FLAG: gate signboard at 5-7s carries pseudo-lettering · grid docs/sheets/take-02-v1-grid.jpg
take-02-v2,"Take 2 reshot as a forward video extension of take 1: bare gate posts (no sign), switchbacks, washboard, riverbed drop, raises three and four knocked down, gold glow only",take-02-v2.mp4,mp4 1080p 9:16 25s,9:16,film source for ch2-ch3,n/a,n/a,seedance_2_5 video_extension forward 25s,bddb1319 (take 1 video) + f86130de + 6b9a80f4 + f0ae8274 + 650cdba8,take 1 footage + four approved sheets,"continues the actual take 1 footage; window glows the same warm gold throughout, no white light; no signboard","no white light on the device, no signs, no lettering, no outlines, no exterior, no extra passengers","CANDIDATE, awaiting Jon",job f46176fb-74af-4da9-8117-0f57c67eac14 · output is the new 25 s only (25.00s 1080x1920) · continues take 1 footage seamlessly · gate posts are bare, no sign · jerry can flies at 16-17s · riverbed dust 21-22s · FLAG: window still flashes white for ~1 s at each raise (7s and 19s) despite the prompt; the word pull appears to trigger the LED-on behaviour · grid docs/sheets/take-02-v2-grid.jpg
